idJugador,nombre,cantidadPartidas,rating
mrkooshaj,correspondence,2,1924
mrkooshaj,chess960,728,2410
mrkooshaj,kingOfTheHill,696,2308
mrkooshaj,threeCheck,88,1948
mrkooshaj,antichess,44,1770
mrkooshaj,atomic,91,1455
mrkooshaj,horde,25,2133
mrkooshaj,racingKings,63,1733
mrkooshaj,crazyhouse,294,2209
mrkooshaj,puzzle,700,2841
tuzakli_egitim,ultraBullet,1685,2116
tuzakli_egitim,bullet,9543,2966
tuzakli_egitim,blitz,3446,2861
tuzakli_egitim,rapid,1292,2769
tuzakli_egitim,classical,8,1642
tuzakli_egitim,correspondence,1,1500
tuzakli_egitim,chess960,427,2460
tuzakli_egitim,kingOfTheHill,682,2396
tuzakli_egitim,threeCheck,241,2258
tuzakli_egitim,antichess,18,1591
tuzakli_egitim,atomic,136,2043
tuzakli_egitim,horde,110,2350
tuzakli_egitim,racingKings,29,1946
tuzakli_egitim,crazyhouse,65,2051
tuzakli_egitim,puzzle,7334,2829
konnov_oleg,bullet,16782,2672
konnov_oleg,blitz,22820,2525
konnov_oleg,rapid,1978,2751
konnov_oleg,classical,1151,2487
konnov_oleg,correspondence,0,1500
konnov_oleg,kingOfTheHill,3,1411
konnov_oleg,puzzle,35822,2907
nickvet,bullet,413,2735
nickvet,blitz,3882,2707
nickvet,rapid,253,2744
nickvet,classical,0,1500
nickvet,correspondence,0,1500
nickvet,chess960,24,1543
nickvet,puzzle,221,2744
savvavetokhin2009,ultraBullet,3830,2351
savvavetokhin2009,bullet,9294,3024
savvavetokhin2009,blitz,2659,2601
savvavetokhin2009,rapid,365,2739
savvavetokhin2009,classical,3,2572
savvavetokhin2009,correspondence,2,1693
savvavetokhin2009,chess960,571,2500
savvavetokhin2009,kingOfTheHill,1510,2340
savvavetokhin2009,threeCheck,206,2060
savvavetokhin2009,antichess,1,1169
savvavetokhin2009,atomic,2,1317
savvavetokhin2009,horde,31,2173
savvavetokhin2009,racingKings,34,1861
savvavetokhin2009,puzzle,518,3021
datajunkie,bullet,543,2924
datajunkie,blitz,2283,2736
datajunkie,rapid,223,2738
